,avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,city,last_trip_date,phone,signup_date,surge_pct,trips_in_first_30_days,luxury_car_user,weekday_pct,last_trip,churn,King's Landing,Winterfell,iPhone
85,2.42,4.8,5.0,1.0,Winterfell,2014-04-28,iPhone,2014-01-27,0.0,4,0,100.0,2014-04-28,1,0,1,1
89,4.67,5.0,5.0,1.0,Astapor,2014-05-18,iPhone,2014-01-19,0.0,0,1,0.0,2014-05-18,1,0,0,1
91,10.83,5.0,5.0,1.0,Astapor,2014-06-26,Android,2014-01-18,0.0,3,1,50.0,2014-06-26,0,0,0,0
93,1.13,4.4,4.0,1.0,Winterfell,2014-05-28,Android,2014-01-05,0.0,5,0,80.0,2014-05-28,1,0,1,0
94,23.34,4.0,1.0,1.0,Astapor,2014-01-18,iPhone,2014-01-17,0.0,1,1,0.0,2014-01-18,1,0,0,1
97,5.36,5.0,5.0,1.0,Astapor,2014-01-11,Android,2014-01-07,0.0,4,1,75.0,2014-01-11,1,0,0,0
99,2.86,4.9,4.9,1.0,Astapor,2014-03-05,Android,2014-01-27,0.0,73,1,89.7,2014-03-05,1,0,0,0
101,6.08,5.0,5.0,1.17,Astapor,2014-05-25,Android,2014-01-18,16.7,1,0,33.3,2014-05-25,1,0,0,0
105,4.99,5.0,5.0,1.0,Winterfell,2014-06-23,Android,2014-01-20,0.0,0,0,0.0,2014-06-23,0,0,1,0
107,10.79,4.9,4.9,1.09,King's Landing,2014-06-29,iPhone,2014-01-07,15.9,14,0,50.0,2014-06-29,0,1,0,1
108,9.14,5.0,3.0,1.0,Astapor,2014-01-08,iPhone,2014-01-03,0.0,1,0,100.0,2014-01-08,1,0,0,1
110,5.25,5.0,5.0,1.0,Astapor,2014-06-11,iPhone,2014-01-25,0.0,2,1,50.0,2014-06-11,0,0,0,1
113,10.29,3.7,5.0,1.0,Winterfell,2014-03-29,Android,2014-01-01,0.0,1,0,33.3,2014-03-29,1,0,1,0
115,1.16,4.3,4.0,1.0,Astapor,2014-04-09,iPhone,2014-01-07,0.0,0,0,100.0,2014-04-09,1,0,0,1
116,0.0,5.0,5.0,1.0,Winterfell,2014-01-11,Android,2014-01-10,0.0,1,0,100.0,2014-01-11,1,0,1,0
117,2.64,5.0,2.5,1.63,Astapor,2014-04-17,iPhone,2014-01-10,50.0,1,0,100.0,2014-04-17,1,0,0,1
118,16.85,5.0,5.0,1.0,Winterfell,2014-06-10,iPhone,2014-01-14,0.0,0,1,85.7,2014-06-10,0,0,1,1
120,2.67,4.9,4.3,1.06,Astapor,2014-05-23,Android,2014-01-15,11.1,3,1,88.9,2014-05-23,1,0,0,0
122,1.58,5.0,5.0,1.0,King's Landing,2014-06-23,iPhone,2014-01-17,0.0,0,0,0.0,2014-06-23,0,1,0,1
123,1.78,5.0,5.0,1.0,Astapor,2014-04-03,Android,2014-01-25,0.0,0,1,33.3,2014-04-03,1,0,0,0
126,6.04,4.5,5.0,1.0,Astapor,2014-01-17,Android,2014-01-16,0.0,2,0,100.0,2014-01-17,1,0,0,0
127,2.92,5.0,4.0,1.38,Winterfell,2014-06-28,Android,2014-01-19,50.0,2,1,0.0,2014-06-28,0,0,1,0
128,2.81,4.3,4.8,1.3,Astapor,2014-04-20,iPhone,2014-01-26,20.0,0,0,20.0,2014-04-20,1,0,0,1
129,2.0,5.0,5.0,1.0,Winterfell,2014-01-12,iPhone,2014-01-11,0.0,3,0,0.0,2014-01-12,1,0,1,1
130,7.4,5.0,4.5,1.0,Astapor,2014-05-25,Android,2014-01-31,0.0,0,1,0.0,2014-05-25,1,0,0,0
131,1.2,4.0,5.0,1.0,Astapor,2014-03-27,Android,2014-01-12,0.0,0,0,100.0,2014-03-27,1,0,0,0
137,13.78,5.0,5.0,1.0,Winterfell,2014-01-03,iPhone,2014-01-02,0.0,1,0,100.0,2014-01-03,1,0,1,1
144,0.95,5.0,5.0,1.0,Winterfell,2014-06-21,iPhone,2014-01-16,0.0,0,1,100.0,2014-06-21,0,0,1,1
146,4.97,5.0,5.0,1.0,Winterfell,2014-03-28,iPhone,2014-01-14,0.0,0,1,100.0,2014-03-28,1,0,1,1
151,4.43,4.7,5.0,1.17,Winterfell,2014-06-28,iPhone,2014-01-18,33.3,0,0,66.7,2014-06-28,0,0,1,1
152,4.01,5.0,5.0,1.0,Winterfell,2014-05-24,iPhone,2014-01-31,0.0,0,1,0.0,2014-05-24,1,0,1,1
154,7.63,5.0,5.0,1.0,Winterfell,2014-01-25,iPhone,2014-01-24,0.0,2,1,50.0,2014-01-25,1,0,1,1
155,1.89,4.5,4.5,1.0,Winterfell,2014-02-02,iPhone,2014-01-31,0.0,4,0,0.0,2014-02-02,1,0,1,1
156,3.18,5.0,4.0,1.0,Winterfell,2014-01-27,Android,2014-01-26,0.0,1,0,100.0,2014-01-27,1,0,1,0
157,3.72,5.0,5.0,1.0,Winterfell,2014-05-18,Android,2014-01-20,0.0,1,0,20.0,2014-05-18,1,0,1,0
158,3.8,4.7,5.0,1.0,Astapor,2014-03-28,iPhone,2014-01-11,0.0,0,0,100.0,2014-03-28,1,0,0,1
159,18.03,5.0,5.0,1.0,Astapor,2014-01-19,Android,2014-01-12,0.0,1,0,0.0,2014-01-19,1,0,0,0
162,12.6,5.0,5.0,1.0,Astapor,2014-01-04,iPhone,2014-01-04,0.0,1,0,0.0,2014-01-04,1,0,0,1
165,1.5,3.5,5.0,1.63,Astapor,2014-01-12,iPhone,2014-01-11,100.0,2,0,0.0,2014-01-12,1,0,0,1
167,1.73,5.0,5.0,1.0,Winterfell,2014-02-22,Android,2014-01-20,0.0,0,0,100.0,2014-02-22,1,0,1,0
168,3.37,3.5,5.0,1.0,Astapor,2014-01-31,Android,2014-01-30,0.0,2,0,100.0,2014-01-31,1,0,0,0
169,2.11,5.0,1.0,1.0,Winterfell,2014-03-14,iPhone,2014-01-24,0.0,0,1,100.0,2014-03-14,1,0,1,1
171,2.2,5.0,4.0,1.0,Winterfell,2014-01-15,iPhone,2014-01-14,0.0,1,0,100.0,2014-01-15,1,0,1,1
172,3.88,5.0,5.0,1.0,Winterfell,2014-04-06,Android,2014-01-31,0.0,1,0,50.0,2014-04-06,1,0,1,0
173,9.77,5.0,2.0,1.0,Astapor,2014-01-15,Android,2014-01-07,0.0,1,0,100.0,2014-01-15,1,0,0,0
174,1.75,5.0,4.5,1.0,Astapor,2014-04-06,Android,2014-01-25,0.0,3,1,0.0,2014-04-06,1,0,0,0
175,3.56,5.0,4.0,1.25,King's Landing,2014-01-18,iPhone,2014-01-17,100.0,1,0,100.0,2014-01-18,1,1,0,1
178,4.46,2.0,4.0,1.0,Astapor,2014-02-25,iPhone,2014-01-30,0.0,1,0,100.0,2014-02-25,1,0,0,1
179,12.52,5.0,4.0,1.0,Astapor,2014-01-27,iPhone,2014-01-15,0.0,1,0,100.0,2014-01-27,1,0,0,1
181,2.74,4.0,3.0,1.0,Winterfell,2014-03-17,Android,2014-01-28,0.0,1,1,0.0,2014-03-17,1,0,1,0
183,7.54,5.0,5.0,1.0,King's Landing,2014-01-05,iPhone,2014-01-04,0.0,1,0,0.0,2014-01-05,1,1,0,1
184,10.16,5.0,5.0,1.0,Winterfell,2014-05-25,iPhone,2014-01-15,0.0,0,1,75.0,2014-05-25,1,0,1,1
187,4.54,5.0,5.0,1.0,Winterfell,2014-01-19,iPhone,2014-01-19,0.0,1,0,0.0,2014-01-19,1,0,1,1
189,8.91,5.0,5.0,1.0,Winterfell,2014-06-23,iPhone,2014-01-11,0.0,2,1,33.3,2014-06-23,0,0,1,1
190,10.37,4.0,4.0,1.25,Winterfell,2014-05-17,Android,2014-01-23,50.0,0,0,75.0,2014-05-17,1,0,1,0
193,5.99,3.0,5.0,1.0,Winterfell,2014-01-16,iPhone,2014-01-12,0.0,4,0,100.0,2014-01-16,1,0,1,1
195,1.27,5.0,5.0,1.0,Winterfell,2014-02-21,iPhone,2014-01-29,0.0,1,0,100.0,2014-02-21,1,0,1,1
197,3.75,5.0,3.7,2.25,Winterfell,2014-03-02,iPhone,2014-01-08,66.7,0,0,33.3,2014-03-02,1,0,1,1
198,1.38,4.0,5.0,2.0,Winterfell,2014-03-03,iPhone,2014-01-26,50.0,1,0,0.0,2014-03-03,1,0,1,1
199,4.58,5.0,5.0,1.0,Winterfell,2014-05-16,iPhone,2014-01-16,0.0,0,0,100.0,2014-05-16,1,0,1,1
201,27.32,5.0,5.0,1.0,King's Landing,2014-06-27,iPhone,2014-01-17,0.0,1,0,100.0,2014-06-27,0,1,0,1
204,5.28,5.0,5.0,1.0,Winterfell,2014-05-12,iPhone,2014-01-06,0.0,0,0,66.7,2014-05-12,1,0,1,1
205,2.09,5.0,5.0,1.0,Astapor,2014-05-27,iPhone,2014-01-09,0.0,0,1,100.0,2014-05-27,1,0,0,1
206,3.69,5.0,5.0,1.0,Winterfell,2014-06-18,iPhone,2014-01-22,0.0,0,0,100.0,2014-06-18,0,0,1,1
207,2.52,5.0,5.0,1.0,Astapor,2014-01-26,Android,2014-01-19,0.0,3,0,0.0,2014-01-26,1,0,0,0
209,11.78,5.0,5.0,1.0,Astapor,2014-05-09,Android,2014-01-06,0.0,0,0,100.0,2014-05-09,1,0,0,0
210,16.88,3.0,5.0,1.0,Winterfell,2014-05-14,iPhone,2014-01-14,0.0,0,0,100.0,2014-05-14,1,0,1,1
212,0.89,3.0,5.0,1.0,Winterfell,2014-02-10,iPhone,2014-01-10,0.0,0,0,100.0,2014-02-10,1,0,1,1
213,3.07,5.0,5.0,1.0,Winterfell,2014-01-19,Android,2014-01-18,0.0,1,0,0.0,2014-01-19,1,0,1,0
214,3.81,4.9,4.3,1.04,Astapor,2014-06-20,iPhone,2014-01-18,7.1,7,0,57.1,2014-06-20,0,0,0,1
216,2.7,4.5,4.5,1.5,King's Landing,2014-06-27,Android,2014-01-11,50.0,0,0,50.0,2014-06-27,0,1,0,0
218,2.6,5.0,5.0,1.75,Winterfell,2014-02-16,Android,2014-01-20,100.0,1,0,0.0,2014-02-16,1,0,1,0
221,10.61,5.0,4.3,1.13,Winterfell,2014-05-18,Android,2014-01-25,25.0,1,1,25.0,2014-05-18,1,0,1,0
224,1.69,5.0,4.6,1.0,Winterfell,2014-06-29,Android,2014-01-18,0.0,0,0,40.0,2014-06-29,0,0,1,0
227,17.87,5.0,5.0,1.0,Winterfell,2014-05-22,iPhone,2014-01-06,0.0,0,1,100.0,2014-05-22,1,0,1,1
228,24.43,5.0,5.0,1.0,Astapor,2014-05-17,Android,2014-01-18,0.0,1,1,0.0,2014-05-17,1,0,0,0
230,18.61,2.0,1.0,1.0,Winterfell,2014-01-06,iPhone,2014-01-06,0.0,1,1,100.0,2014-01-06,1,0,1,1
233,12.96,5.0,5.0,1.0,Winterfell,2014-04-30,Android,2014-01-05,0.0,0,0,100.0,2014-04-30,1,0,1,0
235,1.62,5.0,4.0,1.0,Winterfell,2014-06-29,Android,2014-01-01,0.0,0,1,42.9,2014-06-29,0,0,1,0
236,7.6,5.0,4.5,1.0,Astapor,2014-04-16,iPhone,2014-01-24,0.0,1,0,100.0,2014-04-16,1,0,0,1
240,3.28,5.0,5.0,1.0,Astapor,2014-05-26,iPhone,2014-01-10,0.0,0,0,100.0,2014-05-26,1,0,0,1
243,5.05,4.3,5.0,1.13,Winterfell,2014-05-18,iPhone,2014-01-01,25.0,0,0,25.0,2014-05-18,1,0,1,1
245,3.42,5.0,4.0,1.0,Astapor,2014-01-09,Android,2014-01-08,0.0,1,0,100.0,2014-01-09,1,0,0,0
246,3.04,5.0,5.0,1.38,Winterfell,2014-05-04,iPhone,2014-01-30,50.0,0,0,50.0,2014-05-04,1,0,1,1
248,19.07,5.0,4.5,1.0,Winterfell,2014-06-21,iPhone,2014-01-26,0.0,1,0,50.0,2014-06-21,0,0,1,1
249,1.13,5.0,5.0,1.0,King's Landing,2014-01-09,Android,2014-01-08,0.0,2,0,100.0,2014-01-09,1,1,0,0
251,8.09,5.0,5.0,1.0,Winterfell,2014-03-03,iPhone,2014-01-26,0.0,2,0,100.0,2014-03-03,1,0,1,1
255,10.73,5.0,5.0,1.0,Astapor,2014-01-18,iPhone,2014-01-17,0.0,1,0,0.0,2014-01-18,1,0,0,1
256,17.63,5.0,5.0,1.0,Winterfell,2014-04-24,iPhone,2014-01-03,0.0,0,0,100.0,2014-04-24,1,0,1,1
257,6.2,3.0,3.0,1.0,Winterfell,2014-01-11,Android,2014-01-10,0.0,1,1,100.0,2014-01-11,1,0,1,0
260,3.56,5.0,5.0,1.0,Winterfell,2014-06-26,iPhone,2014-01-10,0.0,2,0,87.5,2014-06-26,0,0,1,1
261,1.59,5.0,5.0,1.0,Winterfell,2014-06-11,iPhone,2014-01-11,0.0,0,1,100.0,2014-06-11,0,0,1,1
262,0.68,5.0,4.0,1.0,Winterfell,2014-01-09,iPhone,2014-01-08,0.0,2,0,100.0,2014-01-09,1,0,1,1
263,9.15,5.0,4.3,1.0,King's Landing,2014-02-10,Android,2014-01-31,0.0,3,1,66.7,2014-02-10,1,1,0,0
264,5.76,5.0,4.5,1.0,Astapor,2014-04-06,iPhone,2014-01-01,0.0,5,0,44.4,2014-04-06,1,0,0,1
266,0.7,4.7,4.0,1.0,Winterfell,2014-01-17,Android,2014-01-16,0.0,3,1,100.0,2014-01-17,1,0,1,0
267,7.69,5.0,5.0,1.25,Winterfell,2014-05-11,iPhone,2014-01-24,25.0,0,0,0.0,2014-05-11,1,0,1,1
269,5.82,5.0,5.0,1.0,Astapor,2014-03-06,iPhone,2014-01-31,0.0,0,1,100.0,2014-03-06,1,0,0,1
273,1.17,5.0,5.0,1.0,Winterfell,2014-01-06,iPhone,2014-01-05,0.0,1,0,100.0,2014-01-06,1,0,1,1
275,4.14,5.0,4.6,1.1,Winterfell,2014-05-24,Android,2014-01-31,15.4,5,1,69.2,2014-05-24,1,0,1,0
276,3.23,5.0,5.0,1.0,Astapor,2014-03-28,Android,2014-01-03,0.0,0,1,100.0,2014-03-28,1,0,0,0
278,3.29,4.8,5.0,1.0,Astapor,2014-06-08,iPhone,2014-01-30,0.0,0,0,0.0,2014-06-08,0,0,0,1
283,1.88,5.0,4.8,1.08,Astapor,2014-02-10,iPhone,2014-01-21,16.7,6,0,33.3,2014-02-10,1,0,0,1
284,3.34,4.5,4.0,1.13,Astapor,2014-01-13,iPhone,2014-01-10,25.0,4,0,25.0,2014-01-13,1,0,0,1
291,8.08,5.0,5.0,1.0,Astapor,2014-01-13,iPhone,2014-01-13,0.0,1,0,100.0,2014-01-13,1,0,0,1
293,0.59,5.0,5.0,1.0,Astapor,2014-05-10,iPhone,2014-01-30,0.0,0,1,100.0,2014-05-10,1,0,0,1
295,5.21,5.0,5.0,1.0,King's Landing,2014-01-20,Android,2014-01-19,0.0,1,1,0.0,2014-01-20,1,1,0,0
296,2.96,5.0,5.0,1.0,Winterfell,2014-05-31,iPhone,2014-01-10,0.0,2,0,33.3,2014-05-31,1,0,1,1
297,5.93,5.0,5.0,1.0,King's Landing,2014-07-01,iPhone,2014-01-16,0.0,1,0,100.0,2014-07-01,0,1,0,1
298,10.43,5.0,5.0,1.25,Astapor,2014-01-01,Android,2014-01-01,100.0,1,0,100.0,2014-01-01,1,0,0,0
299,1.85,4.6,5.0,1.0,Winterfell,2014-06-28,Android,2014-01-02,0.0,9,0,88.3,2014-06-28,0,0,1,0
301,4.65,5.0,5.0,1.0,Winterfell,2014-05-25,iPhone,2014-01-01,0.0,0,0,33.3,2014-05-25,1,0,1,1
302,2.82,4.8,4.3,1.0,Winterfell,2014-02-18,Android,2014-01-30,0.0,6,0,66.7,2014-02-18,1,0,1,0
303,2.05,4.7,5.0,1.0,Winterfell,2014-05-11,iPhone,2014-01-15,0.0,0,0,33.3,2014-05-11,1,0,1,1
304,19.81,5.0,5.0,2.0,Winterfell,2014-03-19,Android,2014-01-13,50.0,0,1,100.0,2014-03-19,1,0,1,0
306,1.64,5.0,5.0,1.0,King's Landing,2014-01-19,Android,2014-01-18,0.0,1,1,0.0,2014-01-19,1,1,0,0
310,1.84,5.0,4.0,1.0,Winterfell,2014-01-19,iPhone,2014-01-10,0.0,4,1,0.0,2014-01-19,1,0,1,1
311,4.07,2.5,5.0,1.0,Winterfell,2014-02-21,Android,2014-01-16,0.0,1,0,100.0,2014-02-21,1,0,1,0
316,3.83,5.0,5.0,1.04,Astapor,2014-04-26,Android,2014-01-26,16.7,4,0,66.7,2014-04-26,1,0,0,0
317,14.59,5.0,5.0,1.0,Astapor,2014-01-12,iPhone,2014-01-11,0.0,1,0,0.0,2014-01-12,1,0,0,1
318,1.43,5.0,5.0,1.0,King's Landing,2014-06-04,Android,2014-01-30,0.0,0,0,100.0,2014-06-04,0,1,0,0
321,5.21,5.0,5.0,1.0,Astapor,2014-01-28,iPhone,2014-01-17,0.0,2,0,100.0,2014-01-28,1,0,0,1
322,14.79,5.0,5.0,1.0,Astapor,2014-04-02,Android,2014-01-18,0.0,0,0,100.0,2014-04-02,1,0,0,0
323,3.84,4.9,4.5,1.0,Astapor,2014-05-25,Android,2014-01-16,0.0,2,0,50.0,2014-05-25,1,0,0,0
324,7.34,5.0,3.3,1.0,Astapor,2014-04-14,iPhone,2014-01-20,0.0,0,0,25.0,2014-04-14,1,0,0,1
325,3.13,5.0,4.3,1.0,Winterfell,2014-04-02,iPhone,2014-01-13,0.0,0,1,100.0,2014-04-02,1,0,1,1
327,4.42,5.0,5.0,1.0,Winterfell,2014-01-19,iPhone,2014-01-18,0.0,1,0,0.0,2014-01-19,1,0,1,1
331,6.75,5.0,5.0,1.0,Astapor,2014-03-23,iPhone,2014-01-10,0.0,1,1,0.0,2014-03-23,1,0,0,1
332,6.25,5.0,5.0,1.0,Astapor,2014-01-19,iPhone,2014-01-18,0.0,1,1,0.0,2014-01-19,1,0,0,1
335,10.1,5.0,5.0,1.0,Astapor,2014-01-17,Android,2014-01-01,0.0,4,1,50.0,2014-01-17,1,0,0,0
336,7.04,5.0,4.0,1.13,Winterfell,2014-05-27,iPhone,2014-01-06,25.0,1,0,100.0,2014-05-27,1,0,1,1
338,3.95,5.0,5.0,1.0,Astapor,2014-06-24,iPhone,2014-01-08,0.0,1,0,100.0,2014-06-24,0,0,0,1
341,2.41,5.0,5.0,1.0,Astapor,2014-04-11,iPhone,2014-01-12,0.0,1,1,50.0,2014-04-11,1,0,0,1
342,1.37,5.0,5.0,1.0,Winterfell,2014-01-22,Android,2014-01-12,0.0,1,0,100.0,2014-01-22,1,0,1,0
343,1.55,5.0,3.0,1.0,Astapor,2014-05-25,iPhone,2014-01-01,0.0,1,1,25.0,2014-05-25,1,0,0,1
346,4.95,4.7,5.0,1.0,Astapor,2014-04-04,iPhone,2014-01-12,0.0,0,0,100.0,2014-04-04,1,0,0,1
347,4.63,5.0,3.5,1.0,Winterfell,2014-01-05,Android,2014-01-04,0.0,2,0,0.0,2014-01-05,1,0,1,0
348,18.86,5.0,5.0,1.0,Winterfell,2014-05-21,iPhone,2014-01-23,0.0,0,0,100.0,2014-05-21,1,0,1,1
351,0.84,5.0,4.7,1.0,Astapor,2014-01-12,Android,2014-01-08,0.0,4,0,50.0,2014-01-12,1,0,0,0
352,7.09,5.0,4.0,1.0,Astapor,2014-01-19,iPhone,2014-01-18,0.0,2,1,0.0,2014-01-19,1,0,0,1
354,2.85,5.0,5.0,2.0,Winterfell,2014-05-26,Android,2014-01-09,100.0,0,0,0.0,2014-05-26,1,0,1,0
356,0.0,5.0,4.0,1.0,Winterfell,2014-01-16,Android,2014-01-15,0.0,1,0,100.0,2014-01-16,1,0,1,0
359,8.17,4.8,3.8,1.0,Winterfell,2014-06-18,Android,2014-01-11,0.0,1,0,80.0,2014-06-18,0,0,1,0
361,3.29,4.8,5.0,1.0,Astapor,2014-05-25,Android,2014-01-22,0.0,1,0,50.0,2014-05-25,1,0,0,0
364,6.79,5.0,5.0,1.0,King's Landing,2014-01-05,iPhone,2014-01-03,0.0,1,0,0.0,2014-01-05,1,1,0,1
365,2.05,5.0,4.9,1.0,Winterfell,2014-06-11,iPhone,2014-01-15,0.0,0,0,28.6,2014-06-11,0,0,1,1
368,5.64,5.0,5.0,1.0,King's Landing,2014-03-20,Android,2014-01-13,0.0,0,0,100.0,2014-03-20,1,1,0,0
369,4.69,5.0,5.0,1.0,Astapor,2014-06-20,iPhone,2014-01-22,0.0,1,0,100.0,2014-06-20,0,0,0,1
371,4.1,5.0,5.0,1.0,King's Landing,2014-01-25,Android,2014-01-19,0.0,3,0,33.3,2014-01-25,1,1,0,0
373,7.8,5.0,5.0,1.0,Astapor,2014-05-16,iPhone,2014-01-19,0.0,1,1,100.0,2014-05-16,1,0,0,1
374,2.7,5.0,4.0,1.0,Winterfell,2014-02-06,Android,2014-01-24,0.0,3,0,66.7,2014-02-06,1,0,1,0
